,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
705,8,8,39.5,39.5,0.0,24,24,41.5,41.5,0.0,8,8,39.5,39.5,0.0,0.0018720855032506212,0.0018720855032506212,44.5,44.5,0.0,-1,4,2,84,83,92
706,196,196,86.0,86.0,0.0,108,108,64.5,64.5,0.0,108,108,77.0,77.0,0.0,0.016372238673882704,0.016372238673882704,76.0,76.0,0.0,-1,8,16,27,12,67
707,2,208,29.0,96.0,67.0,4,12,30.0,42.0,12.0,2,12,29.0,45.5,16.5,0.0002042275094455223,0.007352190340038803,32.0,63.0,31.0,3,2,1,98,60,77
708,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0.0,0.0,13.5,13.5,0.0,-1,14,1,8,69,86
709,6,108,36.5,85.5,49.0,12,12,43.0,43.0,0.0,6,12,36.5,45.5,9.0,0.0008169100377820892,0.0019741992579733825,39.0,43.0,4.0,4,2,1,93,49,83
710,18,18,42.0,42.0,0.0,36,36,38.5,38.5,0.0,18,18,42.0,42.0,0.0,0.0012594029749140542,0.0012594029749140542,40.0,40.0,0.0,-1,5,3,52,51,59
711,160,261,87.0,94.0,7.0,176,176,92.0,92.0,0.0,160,161,90.0,90.0,0.0,0.01596378365499166,0.01606589740971442,78.0,78.0,0.0,5,8,8,10,17,78
712,0,616,13.0,100.0,87.0,0,90,13.0,46.0,33.0,0,90,13.0,60.0,47.0,0.0,0.013036522686272508,14.0,75.0,61.0,2,10,0,11,99,5
713,0,206,12.5,90.0,77.5,0,18,12.5,31.5,19.0,0,6,12.5,30.0,17.5,0.0,0.0010892133837094523,15.0,38.0,23.0,3,5,0,50,82,53
714,40,40,48.0,48.0,0.0,130,130,61.0,61.0,0.0,40,40,48.5,48.5,0.0,0.0014636304843595766,0.0014636304843595766,41.0,41.0,0.0,-1,16,2,9,42,93
715,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0.0,0.0,14.0,14.0,0.0,-1,10,0,22,93,96
716,0,101,13.0,77.0,64.0,0,8,13.0,26.0,13.0,0,1,13.0,26.0,13.0,0.0,3.4037918240920386e-05,13.5,28.5,15.0,5,8,0,57,98,55
717,194,1834,90.0,100.0,10.0,208,232,90.0,94.0,4.0,208,232,93.0,94.5,1.5,0.015521290717859695,0.039109568058817525,79.0,95.0,16.0,1,10,13,0,33,5
718,156,156,84.5,84.5,0.0,140,140,88.5,88.5,0.0,140,140,89.5,89.5,0.0,0.019844106334456584,0.019844106334456584,81.0,81.0,0.0,-1,7,9,62,39,91
719,0,206,13.0,92.0,79.0,0,13,13.0,32.0,19.0,0,6,13.0,33.0,20.0,0.0,0.0007147962830593281,13.0,36.0,23.0,3,5,0,88,40,49
