,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
147,40,656,50.0,100.0,50.0,66,76,55.5,61.5,6.0,40,76,50.0,65.5,15.5,2,6,1,69,49,32
148,18,224,45.0,91.0,46.0,30,30,36.5,36.5,0.0,18,26,45.0,50.0,5.0,3,5,3,61,43,51
149,0,616,13.0,100.0,87.0,0,76,13.0,39.5,26.5,0,44,13.0,51.0,38.0,2,10,0,18,66,38
150,100,100,64.0,64.0,0.0,100,100,50.5,50.5,0.0,100,100,64.0,64.0,0.0,1,10,29,0,1,23
151,100,100,75.5,75.5,0.0,100,100,84.5,84.5,0.0,100,100,84.5,84.5,0.0,2,5,6,88,35,77
152,128,334,82.0,98.0,16.0,90,90,72.0,72.0,0.0,90,90,73.0,73.0,0.0,3,6,14,69,32,75
153,92,92,76.0,76.0,0.0,48,48,70.5,70.5,0.0,48,48,72.5,72.5,0.0,-1,3,12,85,37,91
154,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,5,1,70,45,40
155,18,18,39.0,39.0,0.0,56,56,38.5,38.5,0.0,18,18,39.0,39.0,0.0,-1,9,2,31,56,84
156,0,616,13.0,100.0,87.0,0,96,13.0,46.0,33.0,0,96,13.0,62.0,49.0,2,10,1,22,69,15
157,62,164,52.5,84.0,31.5,162,162,64.0,64.0,0.0,62,64,52.5,53.0,0.5,4,17,4,20,64,78
158,6,6,30.5,30.5,0.0,26,26,30.5,30.5,0.0,6,6,30.5,30.5,0.0,-1,11,1,33,60,92
159,16,1656,37.0,100.0,63.0,68,106,36.0,55.5,19.5,16,64,37.0,56.0,19.0,1,11,2,33,42,43
160,100,100,68.5,68.5,0.0,100,100,51.0,51.0,0.0,100,100,68.5,68.5,0.0,3,11,4,19,38,56
161,0,616,13.0,100.0,87.0,0,36,13.0,34.0,21.0,0,22,13.0,43.0,30.0,2,7,1,24,69,52
162,0,206,12.5,96.0,83.5,0,12,12.5,42.0,29.5,0,12,12.5,45.5,33.0,3,2,1,98,69,18
163,18,1658,40.0,100.0,60.0,46,84,37.0,46.0,9.0,18,84,40.0,60.0,20.0,1,8,2,10,56,33
164,204,1844,92.0,100.0,8.0,204,248,97.0,100.0,3.0,204,248,97.0,100.0,3.0,1,8,8,21,8,3
165,22,22,51.0,51.0,0.0,32,32,75.5,75.5,0.0,22,22,60.0,60.0,0.0,-1,2,2,95,63,87
166,0,616,13.0,100.0,87.0,0,60,13.0,38.0,25.0,0,60,13.0,55.0,42.0,2,9,0,29,84,30
167,2,208,28.0,92.0,64.0,15,20,29.0,32.0,3.0,2,10,28.0,36.0,8.0,3,8,1,21,95,74
168,0,206,13.0,89.0,76.0,0,26,13.0,29.0,16.0,0,8,13.0,33.0,20.0,3,12,0,3,98,74
169,100,100,75.5,75.5,0.0,100,100,84.5,84.5,0.0,100,100,84.5,84.5,0.0,3,5,6,88,28,21
170,6,1646,32.0,100.0,68.0,14,90,30.0,65.0,35.0,6,90,32.0,67.0,35.0,1,6,1,74,55,30
171,0,616,13.0,99.0,86.0,0,92,13.0,40.5,27.5,0,92,13.0,64.0,51.0,2,11,0,33,67,12
172,80,286,64.5,95.0,30.5,80,80,66.0,66.0,0.0,80,80,69.0,69.0,0.0,3,6,6,69,28,1
173,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,10,0,18,84,82
174,100,100,70.5,70.5,0.0,100,100,46.0,46.0,0.0,100,100,70.5,70.5,0.0,-1,14,29,17,11,45
175,258,874,95.0,100.0,5.0,216,216,96.5,96.5,0.0,216,216,96.5,96.5,0.0,2,9,15,29,16,19
176,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,8,0,39,89,91
177,16,632,44.0,100.0,56.0,40,50,46.5,51.5,5.0,16,50,44.0,54.0,10.0,2,5,3,70,46,7
178,42,658,53.0,100.0,47.0,98,98,55.0,55.0,0.0,40,98,52.0,63.5,11.5,2,8,6,10,41,28
179,104,206,77.0,92.0,15.0,154,154,74.0,74.0,0.0,104,106,77.0,77.0,0.0,4,10,9,36,31,55
180,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,3,0,60,89,76
181,16,632,37.0,100.0,63.0,36,76,31.0,37.5,6.5,16,66,37.0,55.5,18.5,2,12,1,2,55,26
182,1,617,26.0,100.0,74.0,13,158,26.0,66.0,40.0,1,158,26.0,86.0,60.0,2,13,1,13,78,2
183,120,326,85.0,98.5,13.5,64,64,68.5,68.5,0.0,64,64,71.0,71.0,0.0,3,4,18,77,30,5
184,100,100,70.0,70.0,0.0,100,100,50.5,50.0,-0.5,100,100,70.0,70.0,0.0,1,10,8,12,17,32
185,6,6,33.0,33.0,0.0,24,24,39.0,39.0,0.0,6,6,33.0,33.0,0.0,-1,4,2,83,94,85
186,0,206,13.0,92.0,79.0,0,20,13.0,36.5,23.5,0,20,13.0,45.5,32.5,3,4,1,47,45,77
187,84,700,60.0,100.0,40.0,170,180,72.0,75.5,3.5,84,180,60.0,88.5,28.5,2,11,6,19,26,37
