,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
831,35,136,732.0,914.5,182.5,62,62,713.0,713.0,0.0,0.00037441710065012424,0.0004084550188910446,660.5,677.0,16.5,5,9,5,262,487,411
832,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,203.5,203.5,0.0,-1,5,0,474,883,641
833,76,178,892.0,966.5,74.5,54,54,935.5,935.5,0.0,0.0026549576227917903,0.0030293747234419145,913.0,924.0,11.0,4,4,9,891,154,351
834,2,208,388.0,970.0,582.0,7,20,412.0,622.0,210.0,6.807583648184077e-05,0.0022465026039007454,466.0,901.5,435.5,3,4,1,539,592,8
835,0,206,166.0,970.0,804.0,0,16,166.0,590.0,424.0,0.0,0.0011913271384322134,206.0,823.5,617.5,3,4,0,520,832,327
836,4,210,444.0,973.0,529.0,7,16,430.0,575.5,145.5,6.807583648184077e-05,0.0010892133837094523,466.5,818.5,352.0,3,4,2,767,383,227
837,0,206,166.5,963.0,796.5,0,14,166.5,476.5,310.0,0.0,0.001157289220191293,205.0,823.5,618.5,3,5,0,531,608,53
838,97,198,928.0,973.0,45.0,38,38,908.0,908.0,0.0,0.0026889955410327104,0.002723033459273631,922.5,924.0,1.5,5,3,21,825,157,764
839,0,206,166.0,972.0,806.0,0,10,166.0,502.0,336.0,0.0,0.0007488342013002485,206.5,777.5,571.0,3,3,0,746,754,211
840,44,44,752.0,752.0,0.0,92,92,705.5,705.5,0.0,0.000442492937131965,0.000442492937131965,680.5,680.5,0.0,-1,14,6,268,435,587
841,88,189,953.5,984.0,30.5,18,18,830.5,830.5,0.0,0.003710133088260322,0.003812246842983083,946.0,947.5,1.5,5,3,27,853,88,505
842,19,19,674.0,674.0,0.0,14,14,575.0,575.0,0.0,0.00030634126416828345,0.00030634126416828345,649.5,649.5,0.0,-1,3,7,930,371,735
843,6,212,418.5,941.0,522.5,29,40,385.5,419.0,33.5,0.0,0.00010211375472276115,197.5,483.5,286.0,3,17,1,103,771,410
