,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
59,8,8,37.5,37.5,0.0,26,26,37.5,37.5,0.0,8,8,37.5,37.5,0.0,0.0011232513019503727,0.0011232513019503727,39.0,39.0,0.0,-1,5,2,49,74,92
60,173,1813,90.0,100.0,10.0,110,144,83.5,92.5,9.0,110,144,86.5,92.5,6.0,0.015112835698968652,0.05517546546853194,79.0,97.0,18.0,1,6,15,32,19,10
61,16,222,37.5,92.0,54.5,78,78,46.0,46.0,0.0,16,78,37.5,59.0,21.5,0.002484768031587188,0.014636304843595765,47.0,78.0,31.0,3,8,2,15,94,12
62,90,706,65.0,100.0,35.0,94,94,71.5,71.5,0.0,94,94,73.5,73.5,0.0,0.00891793457912114,0.013751318969331836,68.0,77.0,9.0,2,5,6,50,34,29
63,0,616,13.0,100.0,87.0,0,44,13.0,50.0,37.0,0,44,13.0,57.0,44.0,0.0,0.022669253548452978,13.0,87.0,74.0,2,4,0,47,80,0
64,8,624,38.5,100.0,61.5,10,24,33.5,44.5,11.0,8,24,38.5,50.0,11.5,0.0004765308553728854,0.00616086320160659,36.0,59.0,23.0,2,3,2,85,56,94
65,16,632,36.0,100.0,64.0,186,186,67.0,67.0,0.0,16,72,36.0,53.0,17.0,0.0031314884781646754,0.010007147962830594,47.0,67.0,20.0,2,16,3,4,46,21
66,166,166,84.5,84.5,0.0,208,208,87.0,87.0,0.0,166,166,84.5,84.5,0.0,0.014874570271282209,0.014874570271282209,76.0,76.0,0.0,-1,10,9,18,39,36
67,2,208,29.5,92.5,63.0,6,14,30.5,34.0,3.5,2,14,29.5,39.0,9.5,0.00013615167296368154,0.00796487286837537,31.0,66.0,35.0,3,3,1,64,4,14
68,77,178,72.0,92.5,20.5,48,48,67.5,67.5,0.0,48,48,71.0,71.0,0.0,0.008305252050784574,0.008373327887266415,65.0,65.5,0.5,6,3,8,75,44,68
69,28,1668,50.0,100.0,50.0,78,112,47.5,65.0,17.5,28,112,50.0,78.0,28.0,0.001599782157323258,0.022567139793730217,43.0,85.0,42.0,1,8,3,30,43,17
70,16,16,35.5,35.5,0.0,110,110,56.5,56.5,0.0,16,16,35.5,35.5,0.0,0.0008169100377820892,0.0008169100377820892,39.0,39.0,0.0,-1,17,1,20,71,85
71,38,38,49.0,49.0,0.0,110,110,62.0,62.0,0.0,38,38,49.0,49.0,0.0,0.002314578440382586,0.002314578440382586,47.0,47.0,0.0,-1,10,6,11,70,36
